,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
38,It's A Balloon,Chicano Batman,Chicano Batman,2010-05-28,394283,0,0.52,0.0193,0.52,0.555,0.287,0.179,-7.231,0.0579,81.518,3
39,London Calling - Remastered,London Calling (Remastered),The Clash,1979,200480,73,0.651,0.123,0.651,0.801,0.0,0.0825,-7.34,0.0514,133.769,4
40,Bemyself,Bemyself,Parcels,2018-07-13,147787,32,0.497,0.377,0.497,0.383,2.53e-06,0.725,-13.44,0.0299,209.747,3
41,New For You,I Don't Run,Hinds,2018-04-06,206173,25,0.482,0.157,0.482,0.869,2.59e-06,0.076,-4.085,0.0462,122.192,4
42,Sonate pacifique,Sonate pacifique - EP,L'Impératrice,2014-09-16,348944,0,0.557,0.627,0.557,0.534,0.0192,0.425,-8.863,0.0328,99.99,4
43,"Concerto III, en Sol Majeur, BWV 1048 - I. [Allegro]",Bach: Brandenburg Concertos,Johann Sebastian Bach,2010-04-06,341760,22,0.479,0.948,0.479,0.301,0.811,0.103,-18.618,0.0392,98.065,4
44,Crime,Atlas,Real Estate,2014-03-03,195960,43,0.585,0.122,0.585,0.868,0.446,0.356,-6.345,0.0279,120.697,3
45,Nuestra Canción (feat. Vicente García),Caja De Música (Edición Especial),Monsieur Periné,2015-06-16,260079,55,0.906,0.426,0.906,0.731,4.43e-06,0.0853,-7.021,0.0986,106.995,4
46,Let Me Roll It - Remastered 2010,Band On The Run (Standard),Wings,1973-12-05,289813,54,0.338,0.0327,0.338,0.407,0.00246,0.081,-8.506,0.0371,172.595,3
47,Artists Only - 2005 Remaster,More Songs About Buildings and Food (Deluxe Version),Talking Heads,1978-07-14,214800,31,0.414,0.0205,0.414,0.601,0.0107,0.0876,-9.978,0.0296,132.055,4
48,Black Smoke Rising,From The Fires,Greta Van Fleet,2017-11-10,259893,65,0.558,0.197,0.558,0.902,0.000148,0.0852,-4.018,0.0464,100.027,4
49,Mansard Roof,Vampire Weekend,Vampire Weekend,2008-01-29,127666,15,0.536,0.365,0.536,0.7,0.000107,0.201,-4.284,0.141,165.406,4
50,The Club,I Don't Run,Hinds,2018-04-06,197373,31,0.377,0.0381,0.377,0.913,0.19,0.109,-4.269,0.133,125.947,4
51,Hideout,Hideout,Parcels,2017-01-27,266454,0,0.784,0.273,0.784,0.587,0.0107,0.356,-6.361,0.0422,107.999,4
52,Hot Stuff - Remastered 2009,Black And Blue (Remastered 2009),The Rolling Stones,1976-04-23,320893,45,0.788,0.278,0.788,0.768,0.000161,0.0654,-7.25,0.0601,100.118,4
53,HONEY,iridescence,BROCKHAMPTON,2018-09-21,195226,51,0.74,0.0794,0.74,0.787,0.0,0.122,-6.343,0.0493,109.966,4
54,No Woman,Light Upon the Lake,Whitney,2016-06-03,237973,67,0.581,0.893,0.581,0.4,0.576,0.161,-8.739,0.0291,112.331,4
55,Suzie Q,Creedence Clearwater Revival,Creedence Clearwater Revival,1968-07-05,517159,57,0.435,0.0601,0.435,0.618,0.00282,0.167,-11.391,0.0324,129.911,4
56,Talking Backwards,Atlas,Real Estate,2014-03-03,187733,54,0.408,0.0299,0.408,0.875,0.823,0.169,-6.036,0.0301,150.782,4
57,La Samoana,Chicano Batman,Chicano Batman,2010-06-25,341912,0,0.57,0.145,0.57,0.466,0.000449,0.107,-8.96,0.0401,136.441,4
58,Highway Tune,From The Fires,Greta Van Fleet,2017-11-10,180640,69,0.582,0.0096,0.582,0.962,0.128,0.283,-3.037,0.0542,123.971,4
59,Crosseyed and Painless,Remain in Light,Talking Heads,1980-10-08,285733,36,0.708,0.149,0.708,0.728,0.476,0.142,-9.595,0.0326,135.518,4
60,Something - Remastered 2009,Abbey Road (Remastered),The Beatles,1969-09-26,182293,71,0.396,0.198,0.396,0.338,2.62e-06,0.138,-10.872,0.0304,133.522,4
61,"Mozart: Piano Concerto No. 23 in A Major, K. 488: I. Allegro",Mozart - Piano Concertos,Wolfgang Amadeus Mozart,2003-01-15,650744,32,0.264,0.989,0.264,0.0782,0.906,0.19,-23.093,0.0384,137.183,4
62,Lightenup,Parcels,Parcels,2018-10-12,237227,61,0.857,0.015,0.857,0.658,0.266,0.105,-9.8,0.0388,122.969,4
63,Handle With Care,"The Traveling Wilburys, Vol. 1",Traveling Wilburys,1988-10-18,199586,65,0.676,0.109,0.676,0.771,0.0,0.247,-5.981,0.0283,115.073,4
64,Vanille fraise,Vanille fraise,L'Impératrice,2015,238183,64,0.767,0.0399,0.767,0.547,0.485,0.0949,-11.458,0.0474,103.03,4
65,A la par del amor,A la par del amor,Manu Chao,2017-06-23,272000,45,0.895,0.155,0.895,0.62,3.25e-06,0.0708,-6.968,0.303,88.529,4
66,You Are Here,There's a Riot Going On,Yo La Tengo,2018-03-16,343546,0,0.558,0.774,0.558,0.579,0.965,0.0952,-12.066,0.0312,115.491,4
67,Ladies Don't Play Guitar,Yours Conditionally,Tennis,2017-03-10,224093,42,0.676,0.388,0.676,0.557,4.5e-05,0.0623,-5.509,0.0273,99.955,4
