,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,All My Friends,Sound of Silver,LCD Soundsystem,2007-03-12,462266,61,0.148,0.701,0.788,0.625,0.0977,-5.611,0.0425,142.584,4
1,Dance Yrself Clean,This Is Happening,LCD Soundsystem,2010-05-17,536471,64,0.00557,0.739,0.611,0.725,0.04,-9.829,0.0622,98.004,4
2,oh baby,american dream,LCD Soundsystem,2017-09-01,349693,63,0.0192,0.58,0.622,0.653,0.648,-12.005,0.0352,169.442,4
3,Someone Great,Sound of Silver,LCD Soundsystem,2007-03-12,390013,59,0.0418,0.722,0.894,0.00374,0.11,-5.903,0.0325,113.003,4
4,Losing My Edge,LCD Soundsystem,LCD Soundsystem,2005-01-24,473066,46,0.000208,0.769,0.959,0.631,0.331,-8.717,0.0634,116.168,4
5,Home,This Is Happening,LCD Soundsystem,2010-05-17,473333,54,0.0462,0.752,0.844,0.131,0.0782,-8.705,0.0398,124.013,4
6,Daft Punk Is Playing at My House,LCD Soundsystem,LCD Soundsystem,2005-01-24,314556,60,0.0222,0.92,0.914,7.62e-05,0.114,-4.555,0.0444,135.923,4
7,emotional haircut,american dream,LCD Soundsystem,2017-09-01,329213,38,0.00339,0.626,0.949,0.627,0.119,-7.065,0.113,150.506,4
8,I Can Change,This Is Happening,LCD Soundsystem,2010-05-17,352003,58,0.00215,0.644,0.73,0.00178,0.233,-6.565,0.0287,116.981,4
9,change yr mind,american dream,LCD Soundsystem,2017-09-01,297546,38,0.0176,0.763,0.849,0.507,0.0872,-8.466,0.056,105.005,4
10,"New York, I Love You but You're Bringing Me Down",Sound of Silver,LCD Soundsystem,2007-03-12,335480,56,0.474,0.39,0.37,0.00013,0.115,-8.288,0.0457,176.526,3
11,Yeah,LCD Soundsystem,LCD Soundsystem,2005-01-24,561253,40,0.000227,0.705,0.861,0.543,0.388,-4.875,0.0296,131.999,4
12,american dream,call the police / american dream,LCD Soundsystem,2017-05-05,373080,0,0.0365,0.337,0.462,0.0152,0.0782,-9.955,0.0294,199.991,3
13,you can't hide / shame on you - live at madison square garden,the long goodbye (lcd soundsystem live at madison square garden),LCD Soundsystem,2014-04-19,297906,43,0.0496,0.555,0.705,0.0183,0.216,-9.67,0.0472,117.219,4
14,tonite,american dream,LCD Soundsystem,2017-09-01,347346,42,0.0678,0.767,0.787,0.00509,0.43,-8.28,0.0566,121.102,4
15,North American Scum,Sound of Silver,LCD Soundsystem,2007-03-12,328706,52,0.0136,0.882,0.842,0.0345,0.262,-4.534,0.0933,138.02,4
16,Tribulations,LCD Soundsystem,LCD Soundsystem,2005-01-24,299000,51,3.27e-05,0.694,0.773,0.883,0.0761,-5.61,0.0352,132.012,4
17,call the police,american dream,LCD Soundsystem,2017-09-01,418773,44,9.62e-05,0.375,0.728,0.00411,0.0781,-6.475,0.0442,151.011,4
18,Never as Tired as When I'm Waking Up,LCD Soundsystem,LCD Soundsystem,2005-01-24,289893,46,0.408,0.647,0.482,0.0222,0.199,-6.631,0.0262,125.816,4
19,Get Innocuous!,Sound of Silver,LCD Soundsystem,2007-03-12,431520,47,0.0105,0.696,0.963,0.857,0.0872,-6.625,0.0398,118.01,4
20,Yr City's a Sucker,LCD Soundsystem,LCD Soundsystem,2005-01-24,562160,36,0.127,0.765,0.818,0.00167,0.0924,-6.109,0.0392,103.906,4
21,Christmas Will Break Your Heart,Christmas Will Break Your Heart,LCD Soundsystem,2015-12-25,266866,31,0.194,0.473,0.267,0.0145,0.091,-11.099,0.0329,144.93,3
22,us v them - live at madison square garden,the long goodbye (lcd soundsystem live at madison square garden),LCD Soundsystem,2014-04-19,561413,34,0.00341,0.547,0.821,0.0504,0.615,-11.935,0.0447,139.783,4
23,Around the World,Homework,Daft Punk,1997-01-16,429533,76,0.00356,0.956,0.795,0.889,0.0906,-5.311,0.15,121.294,4
24,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2013-04-19,248413,79,0.0426,0.794,0.811,1.07e-06,0.101,-8.966,0.038,116.047,4
