,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Once in a Lifetime,Remain in Light,Talking Heads,1980-10-08,259600,49,0.0623,0.646,0.88,0.157,0.355,-7.753,0.0637,116.916,4
1,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1987-06-02,291293,82,0.207,0.709,0.824,0.000307,0.0888,-8.824,0.0453,118.818,4
2,Take on Me,Hunting High and Low,a-ha,1985-06-01,225280,84,0.018,0.573,0.902,0.00125,0.0928,-7.638,0.054,84.412,4
3,Hungry Like the Wolf - 2001 Remaster,Rio (2001 Remaster),Duran Duran,1982-05-10,221733,34,0.0328,0.689,0.815,0.0,0.137,-6.685,0.0481,127.113,4
4,Beat It,Thriller 25 Super Deluxe Edition,Michael Jackson,1982-11-30,258040,79,0.0491,0.779,0.867,7.98e-06,0.197,-3.704,0.0457,138.858,4
5,Modern Love,Adventureland,Various Artists,2009-01-01,236626,0,0.00117,0.323,0.962,5.9e-05,0.0999,-3.628,0.0569,181.727,4
6,When Doves Cry,Purple Rain,Prince,1984-06-25,352906,72,0.0102,0.729,0.989,4.45e-05,0.443,-4.613,0.049,126.47,4
7,Blue Monday - 2016 Remaster,Singles (2016 Remaster),New Order,2005-09-30,450800,67,0.000726,0.793,0.703,0.88,0.075,-9.548,0.0581,130.27,4
8,Everybody Wants To Rule The World,Songs From The Big Chair (Super Deluxe Edition),Tears For Fears,1985-02-25,251488,83,0.347,0.645,0.795,0.00389,0.104,-12.095,0.0527,112.067,4
9,Livin' On A Prayer,Slippery When Wet,Bon Jovi,1986-01-01,249293,1,0.0768,0.534,0.887,9.93e-05,0.325,-3.777,0.0345,122.494,4
10,You Give Love A Bad Name,Slippery When Wet,Bon Jovi,1986-01-01,222706,0,0.0704,0.537,0.959,1.8e-06,0.382,-3.002,0.0557,122.806,4
11,The Power Of Love,Greatest Hits: Huey Lewis And The News,Huey Lewis & The News,2006-01-01,234333,74,0.0964,0.768,0.829,2.92e-05,0.097,-5.109,0.0313,118.773,4
12,Don't You Want Me,Dare!,The Human League,1981,236920,74,0.184,0.731,0.738,0.0,0.214,-8.125,0.0377,117.656,4
13,All Night Long (All Night) - Single Version,The Definitive Collection,Lionel Richie,2003,260426,63,0.122,0.739,0.576,0.00206,0.0482,-12.024,0.0472,108.81,4
14,Should I Stay or Should I Go - Remastered,Combat Rock (Remastered),The Clash,1982,188986,79,0.0804,0.743,0.836,0.0,0.384,-6.465,0.116,113.375,4
15,Come On Eileen,Too Rye Ay,Dexys Midnight Runners,1982-08,287306,0,0.648,0.45,0.658,3.14e-06,0.264,-7.064,0.0472,106.799,4
16,Under Pressure - Remastered 2011,Greatest Hits II,Queen,1991-10-28,236520,60,0.524,0.663,0.712,0.0,0.0804,-7.268,0.0479,113.439,4
17,Pour Some Sugar On Me - Remastered 2017,Hysteria (Super Deluxe),Def Leppard,1987-08-03,267306,74,0.00211,0.267,0.953,0.0,0.283,-4.899,0.096,84.989,4
18,Everywhere - 2017 Remaster,Tango In the Night (Deluxe Edition),Fleetwood Mac,1987-04-13,226653,78,0.258,0.73,0.487,0.01,0.0852,-10.991,0.0303,114.965,4
19,Bizarre Love Triangle,Brotherhood,New Order,1986-09-29,261399,29,0.0783,0.617,0.918,0.801,0.0918,-5.192,0.0502,118.472,4
20,It's The End Of The World As We Know It (And I Feel Fine),Document (R.E.M. No. 5),R.E.M.,1987-09-01,246933,69,0.0258,0.381,0.894,0.0,0.0251,-8.638,0.037,205.528,4
21,Blister in the Sun - 2002 Remastered Version,Violent Femmes,Violent Femmes,1983,144333,0,0.219,0.701,0.261,0.0,0.0821,-19.846,0.0938,97.042,4
22,All Right,Rhino Hi-Five: Christopher Cross,Christopher Cross,2005-04-19,258715,40,0.18,0.724,0.471,0.0,0.129,-11.914,0.0371,132.714,4
23,Nothin' But A Good Time - Remastered 2006,Nothing But A Good Time,Poison,2009-01-01,223666,51,0.0182,0.57,0.973,0.0,0.203,-2.771,0.0763,129.073,4
24,No Sleep Till Brooklyn,Licensed To Ill,Beastie Boys,1986-11-15,246933,67,0.122,0.712,0.691,0.0,0.0538,-8.157,0.128,97.022,4
25,Hold the Line,Toto,TOTO,1978-10-10,235546,77,0.00783,0.473,0.898,0.0618,0.173,-4.797,0.0561,96.556,4
26,Your Love,Super Hits,The Outfield,1985,221840,71,0.103,0.555,0.757,1.16e-06,0.0631,-7.868,0.0601,129.607,4
27,Piano Man,The Essential Billy Joel,Billy Joel,2001-10-02,336093,67,0.6,0.334,0.472,3.77e-06,0.317,-8.792,0.0277,179.167,3
28,Maneater,H2O,Daryl Hall & John Oates,1982,271893,1,0.0351,0.727,0.685,4.43e-05,0.0973,-7.159,0.0398,88.75,4
29,Heaven Is A Place On Earth,Heaven On Earth,Belinda Carlisle,1987-10-05,247293,65,0.031,0.64,0.81,2.22e-06,0.0492,-10.19,0.033,122.868,4
30,Out of Touch - Single Version,The Essential Daryl Hall & John Oates,Daryl Hall & John Oates,2005-04-25,247160,54,0.082,0.803,0.718,0.00094,0.0791,-6.457,0.0357,115.023,4
31,Crazy for You,Celebration (double disc version),Madonna,2009-09-18,224320,63,0.107,0.662,0.719,0.0,0.102,-6.606,0.0298,95.001,4
32,I Can't Fight This Feeling Anymore,Classic Rock Hits for Dad,Harley's Studio Band,2015-05-05,294752,38,0.223,0.47,0.545,0.0,0.104,-8.026,0.0246,78.212,4
33,Holiday,Celebration (double disc version),Madonna,2009-09-18,368280,62,0.0542,0.854,0.796,0.00184,0.151,-5.567,0.0399,115.625,4
34,Conga!,Primitive Love,Miami Sound Machine,1985-08-13,254000,64,0.168,0.789,0.656,0.0409,0.0311,-14.825,0.0474,122.237,4
35,"Rhythm Of The Night - From ""The Last Dragon"" Soundtrack",Totally '80s For Kids,Various Artists,2010-01-01,234333,8,0.0547,0.68,0.904,3.1e-06,0.116,-5.592,0.0474,115.152,4
36,Dolce Vita (Album Vers.),Italo Disco Hits,Various Artists,2006-05-02,255333,0,0.119,0.746,0.582,0.000865,0.0494,-9.69,0.141,121.568,4
37,"Let's Hear It for the Boy - From ""Footloose"" Soundtrack",Footloose (15th Anniversary Collectors' Edition),Various Artists,1984,261893,55,0.177,0.783,0.573,8.5e-05,0.043,-8.521,0.0462,122.744,4
38,"Any Way You Want It - Live at Cobo Hall in Detroit, Michigan, August 1980",The Essential Journey,Journey,2001-10-16,201866,63,0.000312,0.519,0.934,0.00457,0.137,-7.137,0.0471,138.162,4
39,Talk Dirty To Me,Look What The Cat Dragged In - 20th Anniversary Edition,Poison,1986,223733,60,0.00853,0.491,0.957,0.000879,0.371,-3.67,0.096,158.067,4
40,Say It Isn't So,Play Deep,The Outfield,1985-06-29,227760,52,0.026,0.62,0.64,0.0,0.255,-12.479,0.0466,124.051,4
41,Karma Chameleon - Remastered 2002,Colour By Numbers,Culture Club,1983-10-01,252773,73,0.225,0.668,0.73,0.0,0.188,-7.182,0.0366,92.049,4
42,Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,1987-07-21,354520,81,0.0866,0.454,0.91,0.0996,0.116,-7.766,0.0448,125.116,4
43,Faith - Remastered,Faith,George Michael,1987-10-30,193200,74,0.0094,0.887,0.48,3.58e-05,0.0662,-11.994,0.117,95.846,4
44,Africa,Toto IV,TOTO,1982-04-08,295893,83,0.257,0.671,0.373,8.01e-05,0.0481,-18.064,0.0323,92.718,4
45,Roxanne - Remastered 2003,Outlandos D'Amour,The Police,1978-11-02,191946,0,0.026,0.608,0.746,2.39e-06,0.043,-8.851,0.354,134.03,4
46,Every Little Thing She Does Is Magic - Remastered 2003,Ghost In The Machine,The Police,1981-10-02,260573,0,0.127,0.535,0.745,0.0792,0.179,-10.123,0.0335,163.913,4
47,So Lonely - Remastered 2003,Outlandos D'Amour,The Police,1978-11-02,289586,0,0.0163,0.518,0.582,1.54e-06,0.0836,-8.407,0.152,77.737,4
48,Billie Jean,Thriller 25 Super Deluxe Edition,Michael Jackson,1982-11-30,293826,84,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,117.046,4
49,Smooth Criminal - 2012 Remaster,Bad 25th Anniversary,Michael Jackson,1987-08-31,257760,76,0.247,0.853,0.981,0.468,0.306,-3.947,0.0751,118.193,4
