,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Scar Tissue,Californication (Deluxe Edition),Red Hot Chili Peppers,1999-06-08,215906,77,0.595,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,88.969,4
1,Show Me How to Live,Audioslave,Audioslave,2002-11-17,277840,70,0.433,0.000336,0.433,0.854,0.000177,0.162,-3.868,0.0483,89.4,4
2,It Ain't Over 'Til It's Over,Mama Said,Lenny Kravitz,1991-04-02,242640,69,0.679,0.422,0.679,0.568,0.00928,0.322,-10.74,0.0423,159.69,4
3,Buddy Holly,Weezer,Weezer,1994-05-10,159226,72,0.556,0.00271,0.556,0.92,0.00021,0.117,-4.606,0.0367,121.138,4
4,No Rain,Blind Melon,Blind Melon,1992-01-01,217106,74,0.389,0.619,0.389,0.476,5.09e-05,0.255,-9.342,0.0316,148.117,4
5,Universally Speaking,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,256959,60,0.558,0.0887,0.558,0.924,0.00326,0.263,-2.312,0.0367,117.111,4
6,Let The Bad Times Roll,Let The Bad Times Roll,The Offspring,2021-04-16,198546,68,0.492,0.00237,0.492,0.975,0.0,0.0668,-0.912,0.0816,159.03,4
7,Everlong,The Colour And The Shape,Foo Fighters,1997-05-20,250546,78,0.413,5.99e-05,0.413,0.881,0.000308,0.0805,-5.541,0.0367,158.066,4
8,Little Wing,Axis: Bold As Love,Jimi Hendrix,1967-12-01,145746,71,0.515,0.181,0.515,0.534,0.00278,0.0547,-8.045,0.0768,70.776,4
9,"Tonight, Tonight - Remastered 2012",Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,254626,68,0.277,6.28e-05,0.277,0.67,0.751,0.237,-9.381,0.0376,148.342,4
10,Higher Ground - Remastered,Mother's Milk,Red Hot Chili Peppers,1989-08-16,202053,66,0.476,0.0014,0.476,0.979,0.00729,0.0944,-3.506,0.132,140.404,4
11,Plug in Baby,Origin of Symmetry,Muse,2001,218000,65,0.408,6.94e-06,0.408,0.965,0.000402,0.11,-4.232,0.05,136.018,4
12,About A Girl,Nirvana,Nirvana,2002-10-29,166640,70,0.409,1.87e-05,0.409,0.932,1.6e-06,0.31,-4.538,0.0339,131.761,4
13,Waiting On A War,Medicine At Midnight,Foo Fighters,2021-02-05,253840,65,0.53,0.00984,0.53,0.759,0.0,0.319,-7.067,0.0351,131.999,4
14,All Along the Watchtower,Electric Ladyland,Jimi Hendrix,1968-10-25,240800,78,0.438,0.00255,0.438,0.805,5.69e-05,0.0842,-6.237,0.0624,113.253,4
15,Breaking the Girl,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,295373,62,0.348,0.0233,0.348,0.686,0.00256,0.145,-12.748,0.0319,178.466,3
16,1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,266200,75,0.767,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,126.879,4
17,Knights of Cydonia,Black Holes and Revelations,Muse,2006-06-19,366213,68,0.366,0.000273,0.366,0.963,0.0122,0.115,-5.301,0.142,137.114,4
18,Don't Look Back In Anger - Remastered,(What's The Story) Morning Glory? (Deluxe Remastered Edition),Oasis,1995,289560,71,0.328,0.0665,0.328,0.936,2.61e-06,0.165,-3.254,0.0628,162.97,4
19,Sleep Now In the Fire,The Battle Of Los Angeles,Rage Against The Machine,1999-11-02,205600,67,0.426,0.00162,0.426,0.929,0.105,0.0789,-6.729,0.0701,127.059,4
20,Parallel Universe,Californication (Deluxe Edition),Red Hot Chili Peppers,1999-06-08,269360,63,0.343,0.00107,0.343,0.983,0.296,0.0708,-2.359,0.212,124.536,4
21,Like a Stone,Audioslave,Audioslave,2002-11-17,293960,76,0.614,0.00797,0.614,0.568,0.0,0.0997,-5.477,0.0276,107.849,4
22,Kashmir - 1990 Remaster,Physical Graffiti (1994 Remaster),Led Zeppelin,1975-02-24,508200,69,0.48,0.488,0.48,0.536,4.22e-05,0.155,-11.166,0.0427,80.617,3
23,Madness,The 2nd Law,Muse,2012-09-24,281040,68,0.502,0.127,0.502,0.417,0.00419,0.106,-7.665,0.0718,180.301,4
24,Stop Crying Your Heart Out,Heathen Chemistry,Oasis,2002-07-01,303120,65,0.331,0.0689,0.331,0.558,1.96e-06,0.124,-5.506,0.031,150.19,4
25,Hard to Concentrate,Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,241840,55,0.641,0.156,0.641,0.502,4.35e-06,0.311,-7.334,0.0251,105.634,4
26,Lo/Hi,"""Let's Rock""",The Black Keys,2019-06-28,177768,66,0.606,0.0151,0.606,0.679,0.000433,0.0962,-7.445,0.0321,122.016,4
27,The Kids Aren't Alright,Americana,The Offspring,1998-11-16,180160,78,0.523,0.00704,0.523,0.943,3.81e-05,0.0579,-4.203,0.0337,99.607,4
28,Going to California - Remaster,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,1971-11-08,212160,67,0.503,0.943,0.503,0.265,0.045,0.0867,-15.913,0.0333,78.044,4
29,Bulls On Parade,Evil Empire,Rage Against The Machine,1996-04-16,229466,74,0.412,0.0124,0.412,0.919,0.0601,0.424,-7.291,0.184,166.367,4
30,Brendan's Death Song,I'm with You,Red Hot Chili Peppers,2011-08-29,338333,57,0.355,0.00998,0.355,0.87,0.000111,0.114,-3.82,0.125,114.484,4
31,Doin' Time,Sublime,Sublime,1996-07-30,253840,67,0.708,0.0362,0.708,0.757,0.0,0.17,-5.121,0.0791,80.976,4
32,Lonely Boy,El Camino,The Black Keys,2011-12-06,193653,74,0.356,0.00417,0.356,0.872,0.00975,0.0997,-7.837,0.068,166.3,4
33,The Sky Is A Neighborhood,Concrete and Gold,Foo Fighters,2017-09-15,244573,64,0.357,0.000798,0.357,0.549,0.00485,0.22,-7.843,0.0698,130.749,4
34,Undone - The Sweater Song,Weezer,Weezer,1994-05-10,305533,67,0.457,0.00114,0.457,0.618,0.00257,0.0679,-6.682,0.0296,80.184,4
35,Slow Cheetah,Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,319933,57,0.39,0.082,0.39,0.344,0.000141,0.0715,-7.804,0.0376,178.102,4
36,Guerrilla Radio,The Battle Of Los Angeles,Rage Against The Machine,1999-11-02,206200,69,0.599,0.0129,0.599,0.957,7.06e-05,0.155,-5.764,0.188,103.68,4
37,Would?,Dirt,Alice In Chains,1992-09-29,206773,71,0.305,0.000327,0.305,0.833,2.36e-05,0.091,-7.981,0.0398,100.675,4
38,Undisclosed Desires,The Resistance,Muse,2009-09-10,235000,65,0.683,0.00819,0.683,0.585,0.0162,0.0797,-6.76,0.0323,115.997,4
39,Learn to Fly,There Is Nothing Left To Lose,Foo Fighters,1999-11-02,235293,74,0.465,1.83e-05,0.465,0.919,2.07e-05,0.262,-4.025,0.0408,135.997,4
40,Don't Forget Me,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,277160,61,0.499,0.00399,0.499,0.705,9.11e-06,0.104,-5.596,0.0669,123.909,4
41,Drive,Make Yourself,Incubus,1999-10-26,232453,74,0.645,0.0562,0.645,0.792,0.0121,0.119,-7.34,0.036,90.565,4
42,All Apologies,In Utero - 20th Anniversary Remaster,Nirvana,1993-09-21,233173,69,0.446,0.0793,0.446,0.632,0.000266,0.0881,-12.197,0.034,113.176,4
43,Chop Suey!,Toxicity,System Of A Down,2001-09-04,210240,80,0.417,0.000278,0.417,0.934,0.0015,0.132,-3.908,0.119,127.066,4
44,Starlight,Black Holes and Revelations,Muse,2006-06-19,240213,72,0.55,0.000436,0.55,0.874,1.02e-05,0.206,-4.046,0.0321,121.61,4
45,Hump de Bump,Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,213093,56,0.685,0.142,0.685,0.971,7.04e-06,0.0689,-3.153,0.0362,111.926,4
46,Welcome to Paradise,Dookie,Green Day,1994-02-01,224133,68,0.37,0.000241,0.37,0.96,0.0116,0.0563,-4.162,0.0378,89.428,4
47,Walk This Way,Toys In The Attic,Aerosmith,1975-04-08,220400,75,0.653,0.0114,0.653,0.73,1.03e-05,0.0754,-10.613,0.043,108.705,4
48,Santa Monica,Sparkle And Fade,Everclear,1995-01-01,191506,68,0.491,0.156,0.491,0.942,0.0,0.367,-5.333,0.132,100.446,4
49,Purple Haze,Are You Experienced,Jimi Hendrix,1967-05-12,170813,72,0.533,0.00876,0.533,0.905,0.578,0.0698,-5.27,0.0754,108.9,4
50,Coming Clean,Dookie,Green Day,1994-02-01,94893,54,0.338,0.000138,0.338,0.992,0.000228,0.214,-4.907,0.073,171.552,4
51,My Hero,The Colour And The Shape,Foo Fighters,1997-05-20,260026,70,0.398,6.2e-05,0.398,0.927,0.000177,0.0575,-4.212,0.0567,77.106,4
52,99 Red Balloons,Stomping Ground,Goldfinger,2000-03-28,229173,64,0.285,0.00103,0.285,0.843,0.00037,0.327,-7.318,0.129,97.051,4
53,You Know What They Do to Guys Like Us in Prison,Three Cheers for Sweet Revenge,My Chemical Romance,2004-06-08,173733,63,0.387,0.00366,0.387,0.913,0.0,0.136,-3.761,0.0814,185.957,4
54,Macy's Day Parade,Warning,Green Day,2000-10-03,213106,53,0.863,0.208,0.863,0.728,0.0,0.104,-4.693,0.0327,108.958,4
55,In Too Deep,"All Killer, No Filler",Sum 41,2001-01-01,207093,74,0.568,0.000189,0.568,0.844,0.0,0.0607,-5.875,0.0505,116.046,4
56,Lifestyles of the Rich & Famous,The Young and The Hopeless,Good Charlotte,2002-10-04,190173,70,0.62,0.00043,0.62,0.93,0.0,0.0686,-3.685,0.0374,106.22,4
57,No Son Of Mine,Medicine At Midnight,Foo Fighters,2021-02-05,208706,61,0.535,0.00131,0.535,0.972,0.000471,0.0788,-4.428,0.0844,124.971,4
58,Superman,Hang-Ups,Goldfinger,1998-06-01,185026,65,0.429,0.000131,0.429,0.937,0.0002,0.0807,-3.986,0.0573,194.838,4
59,Burnout,Dookie,Green Day,1994-02-01,127533,59,0.5,0.000165,0.5,0.921,0.00118,0.0959,-5.261,0.0355,90.861,4
60,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,My Chemical Romance,2004-06-08,186480,74,0.21,0.00602,0.21,0.94,0.0,0.269,-3.427,0.123,179.722,4
61,No Cigar,Pennybridge Pioneers,Millencolin,2000-02-22,163226,63,0.383,0.000287,0.383,0.986,0.0,0.179,-2.796,0.0617,157.871,4
62,"Dance, Dance",From Under The Cork Tree,Fall Out Boy,2005-05-03,180266,75,0.622,0.00523,0.622,0.961,0.0,0.0854,-3.198,0.154,114.452,4
63,Kill the DJ,¡UNO!,Green Day,2012-09-24,221626,54,0.67,0.000694,0.67,0.954,0.000271,0.133,-2.632,0.0363,105.998,4
64,Dead!,The Black Parade,My Chemical Romance,2006-10-23,195520,67,0.481,0.0037,0.481,0.973,0.000877,0.325,-1.945,0.0542,99.331,4
65,Anthem Part Two,Take Off Your Pants And Jacket,blink-182,2001,227200,63,0.552,0.000102,0.552,0.932,0.0,0.119,-3.782,0.0426,103.108,4
66,I Wanna Be Sedated,Road to Ruin (40th Anniversary Deluxe Edition),Ramones,1978,149786,66,0.56,0.121,0.56,0.965,6.23e-06,0.169,-2.341,0.0409,162.825,4
67,Pulling Teeth,Dookie,Green Day,1994-02-01,150826,52,0.531,0.00171,0.531,0.872,0.0863,0.109,-5.064,0.0492,128.211,4
68,Making A Fire,Medicine At Midnight,Foo Fighters,2021-02-05,255106,65,0.506,2.21e-05,0.506,0.946,0.00226,0.0528,-4.173,0.0652,91.111,3
69,How's It Going to Be,Third Eye Blind,Third Eye Blind,1997-04-08,253413,65,0.561,0.00327,0.561,0.593,0.00144,0.0967,-9.362,0.0264,80.282,4
70,Teenagers,The Black Parade,My Chemical Romance,2006-10-23,161920,78,0.463,0.0506,0.463,0.857,0.0,0.184,-3.063,0.0632,111.647,4
71,The Rock Show,Take Off Your Pants And Jacket,blink-182,2001,171600,68,0.41,0.000324,0.41,0.959,0.0,0.0766,-4.563,0.0869,193.155,4
72,Oh Yeah!,Oh Yeah!,Green Day,2020-01-16,171160,58,0.623,7e-05,0.623,0.792,0.00467,0.159,-6.37,0.0664,127.041,4
73,Original Prankster,Conspiracy Of One,The Offspring,2000-11-14,220946,62,0.664,0.000542,0.664,0.877,2.95e-05,0.284,-4.251,0.0334,146.804,4
74,Times Like These,One By One (Expanded Edition),Foo Fighters,2002-10-22,265560,67,0.376,1.4e-05,0.376,0.908,1.4e-05,0.241,-3.793,0.0879,144.581,4
75,I Need Some of That,I Need Some of That,Weezer,2021-04-21,199666,63,0.631,0.00227,0.631,0.763,7.75e-05,0.65,-5.582,0.0782,119.886,4
76,The Sharpest Lives,The Black Parade,My Chemical Romance,2006-10-23,200880,64,0.513,0.000111,0.513,0.937,0.000102,0.083,-3.427,0.0532,155.015,4
77,Basket Case,Dookie,Green Day,1994-02-01,181533,79,0.442,0.00293,0.442,0.943,8.71e-06,0.091,-3.205,0.0602,85.064,4
