,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Treasure,Unorthodox Jukebox,Bruno Mars,2012-12-07,178560,79,0.0412,0.874,0.692,7.24e-05,0.324,-5.28,0.0431,116.017,4
1,Baby I'm Yours,Baby I'm Yours,Breakbot,2010-02-15,215786,0,0.705,0.831,0.794,3.4e-05,0.0978,-3.701,0.0752,118.075,4
2,Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,Daft Punk,2013-05-17,353893,71,0.0839,0.832,0.659,0.00114,0.0753,-7.828,0.057,100.163,4
3,Give Life Back to Music,Random Access Memories,Daft Punk,2013-05-17,275386,64,0.00286,0.788,0.616,0.549,0.0952,-10.671,0.0337,119.037,4
4,Let's Groove,"Playlist: The Very Best Of Earth, Wind & Fire","Earth, Wind & Fire",1975,332666,0,0.205,0.865,0.616,0.000133,0.188,-10.229,0.0665,126.749,4
5,Play That Funky Music,Shaun White Snowboarding: Official Soundtrack,Various Artists,2008-11-18,301800,54,0.124,0.822,0.87,0.0,0.045,-6.257,0.0592,109.174,4
6,Jungle Boogie,Pulp Fiction,Various Artists,2002-01-01,185466,8,0.11,0.763,0.949,3.5e-06,0.348,-3.934,0.16,106.412,4
7,Good Times,Risqué,CHIC,1979-07-30,495400,65,0.149,0.87,0.657,0.0102,0.053,-7.32,0.0522,110.596,4
8,Fame - 1999 Digital Remaster,Best Of Bowie,David Bowie,2002-10-21,257173,0,0.276,0.775,0.615,0.0125,0.035,-10.235,0.0558,95.751,4
9,Brick House,The Ultimate Collection: The Commodores,Commodores,1997-01-01,206800,0,0.0328,0.83,0.892,0.004,0.0658,-5.613,0.0646,107.774,4
10,Machine Gun,The Ultimate Collection: The Commodores,Commodores,1997-01-01,158693,0,0.0113,0.743,0.976,0.807,0.335,-6.591,0.0325,112.926,4
11,Shining Star,Greatest Hits,"Earth, Wind & Fire",1998-11-03,170106,0,0.453,0.678,0.787,0.00271,0.199,-9.045,0.0582,102.513,4
12,"Signed, Sealed, Delivered (I'm Yours)",Essential Stevie Wonder,Stevie Wonder,1987,159426,0,0.0246,0.673,0.541,0.0,0.0684,-12.559,0.0331,108.857,4
13,Super Freak,Motown 50,Various Artists,2008-12-01,198706,3,0.112,0.884,0.684,0.000114,0.0614,-9.058,0.0407,131.016,4
14,You Sexy Thing,Hot Chocolate,Hot Chocolate,1975,244920,71,0.522,0.791,0.734,0.00165,0.167,-5.464,0.0629,105.854,4
15,Do Your Thing,Soulshaker Vol.7,Various Artists,2010-10-25,240760,9,0.213,0.678,0.942,0.884,0.265,-5.864,0.0345,117.987,4
16,The Disco Song,Cum On Feel The Boyz,Torpedo Boyz,2008-09-16,381453,0,0.0214,0.77,0.85,0.29,0.0965,-5.977,0.0323,127.001,4
17,The Breaks,The Best Of Kurtis Blow,Kurtis Blow,1994-01-01,469266,0,0.122,0.818,0.67,0.00156,0.31,-13.912,0.0757,112.704,4
18,Christmas Rappin',The Best Of Kurtis Blow,Kurtis Blow,1994-01-01,236666,0,0.0451,0.881,0.588,6.35e-06,0.141,-13.089,0.064,110.947,4
19,Hard Times,The Best Of Kurtis Blow,Kurtis Blow,1994-01-01,279293,0,0.0456,0.836,0.389,0.000437,0.0843,-14.41,0.151,98.065,4
20,Funkytown - Single Version,True Funk [3 CD Set],Various Artists,2007-01-01,236373,0,0.00154,0.908,0.583,0.689,0.108,-9.433,0.0555,122.451,4
21,Let's Work,Controversy,Prince,1981-10-14,234800,30,0.00583,0.817,0.442,0.0107,0.052,-15.349,0.138,119.884,4
22,More Mess On My Thing,Practice What You Preach,The Poets Of Rhythm,1993,252000,0,0.239,0.541,0.871,0.901,0.0494,-6.157,0.0966,190.519,4
