,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Give It To Me Baby,Street Songs (Remastered),Rick James,1981-04-07,248093,0,0.703,0.112,0.703,0.728,5.71e-05,0.179,-8.698,0.0454,119.538,4
38,Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,The Singles Vol. 7: 1970-1972,James Brown,2009-01-01,316253,0,0.825,0.319,0.825,0.812,4.58e-05,0.267,-4.663,0.108,108.352,4
39,Got To Give It Up (Part 1),Number 1's,Marvin Gaye,2007-01-01,252360,0,0.867,0.0687,0.867,0.915,0.00135,0.347,-6.593,0.0487,122.678,4
40,Hot Stuff,The Dance Collection,Donna Summer,1987-01-01,400440,49,0.797,0.00258,0.797,0.737,0.133,0.0404,-13.87,0.0341,120.495,4
41,The Rubberband Man,The Rubberband Man / Now That We're Together [Digital 45],The Spinners,1976,213000,67,0.801,0.74,0.801,0.446,0.038,0.0832,-14.605,0.0735,97.898,4
42,Dancing In The Street - Single Version,Motown 50,Various Artists,2008-12-01,156133,9,0.58,0.06,0.58,0.663,9.79e-05,0.241,-6.192,0.0321,125.915,4
43,War,Motown Remixed & Unmixed,Various Artists,2005-01-01,203373,0,0.598,0.0485,0.598,0.816,0.0,0.225,-7.531,0.169,109.21,4
44,Every Little Bit Hurts - Single Version,The Motown Story,Various Artists,2006-01-01,174893,10,0.448,0.659,0.448,0.377,0.0,0.103,-10.888,0.0301,141.895,3
45,You Keep Me Hangin' On,Love and Life: The Very Best of Diana Ross,Diana Ross,2001-10-24,165906,9,0.653,0.202,0.653,0.804,0.0,0.052,-3.666,0.034,127.934,4
46,Shop Around,Shop Around,Smokey Robinson & The Miracles,2012-05-11,170026,0,0.522,0.667,0.522,0.73,0.0,0.796,-5.526,0.0299,131.78,4
47,Bernadette,The Ultimate Collection: Four Tops,Four Tops,1997-01-01,182106,0,0.608,0.117,0.608,0.891,0.0,0.546,-3.025,0.0282,111.18,4
48,I Wish It Would Rain - Single Version,Gold,The Temptations,2005,165840,0,0.522,0.301,0.522,0.458,0.0,0.244,-12.005,0.071,90.666,4
