,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Mannish Boy,King Of The Electric Blues,Muddy Waters,1977,321133,63,0.44,0.598,0.735,0.000215,0.681,-10.882,0.0973,111.129,3
1,Rollin' Stone,The Chess Box,Muddy Waters,1989-11-07,188160,52,0.989,0.629,0.0192,4.3e-05,0.106,-19.952,0.0833,169.254,4
2,Got My Mojo Working,His Best 1956-1964 - The Chess 50th Anniversary Collection,Muddy Waters,1997-05-20,173040,49,0.573,0.519,0.779,8.13e-05,0.286,-9.159,0.0648,113.487,4
3,Good Morning Little School Girl,The Folk Singer,Muddy Waters,1964-04-05,196040,48,0.689,0.626,0.307,0.00663,0.0843,-14.645,0.0836,173.652,4
4,I'm Your Hoochie Coochie Man,King Of The Electric Blues,Muddy Waters,1977,238533,55,0.67,0.542,0.588,0.158,0.241,-9.268,0.0665,113.948,3
5,I Love The Life I Live (I Live The Life I Love),The Chess Box,Muddy Waters,1989-11-07,171600,42,0.616,0.64,0.307,0.00206,0.1,-13.304,0.109,94.975,4
6,Forty Days And Forty Nights,The Real Folk Blues,Muddy Waters,1966-01-01,174567,44,0.643,0.596,0.405,0.000289,0.205,-10.497,0.0313,88.593,4
7,Champagne & Reefer - Live,"Muddy ""Mississippi"" Waters Live (Legacy Edition)",Muddy Waters,2003-09-02,292373,44,0.331,0.333,0.603,0.0268,0.982,-8.339,0.176,207.8,3
8,I Can't Be Satisfied,The Best Of Muddy Waters,Muddy Waters,1957-04-02,162213,42,0.955,0.667,0.4,0.0178,0.0866,-9.003,0.0462,104.879,4
9,My Home Is In The Delta,The Folk Singer,Muddy Waters,1964-04-05,241000,42,0.767,0.547,0.131,0.0214,0.0707,-15.434,0.0371,96.728,4
10,I'm a King Bee,King Bee,Muddy Waters,1981,230893,37,0.282,0.533,0.804,0.00863,0.583,-7.928,0.114,103.06,4
11,Mean Old Frisco Blues,King Of The Electric Blues,Muddy Waters,1977,225200,37,0.707,0.686,0.757,0.000153,0.653,-7.337,0.0267,107.712,4
