,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,I'm Beginning To See The Light,Ella Fitzgerald Sings The Duke Ellington Song Book,Ella Fitzgerald,1957-01-01,207466,27,0.611,0.708,0.611,0.309,0.0,0.167,-11.752,0.0499,132.407,4
38,How High The Moon - 1st Take,Lullabies Of Birdland,Ella Fitzgerald,1954-01-01,195426,48,0.678,0.814,0.678,0.467,0.0,0.11,-5.177,0.0994,112.846,4
39,Exactly Like You - Late Show - Live (1958/Chicago),Live At Mister Kelly's,Ella Fitzgerald,2007-01-01,457693,10,0.62,0.63,0.62,0.307,0.0,0.643,-15.083,0.0999,80.286,4
40,Blue Skies,Get Happy! (Expanded Edition),Ella Fitzgerald,1959-01-01,226360,56,0.611,0.837,0.611,0.285,0.0,0.102,-10.225,0.0682,79.463,4
41,Our Love Is Here To Stay,Unforgettable: With Love,Natalie Cole,1991,209960,58,0.39,0.867,0.39,0.0968,3.58e-06,0.0715,-14.966,0.0285,68.768,4
42,What A Diff'rence A Day Made,What A Diff'rence A Day Makes! (Expanded Edition),Dinah Washington,1959-02-19,151866,63,0.387,0.925,0.387,0.117,0.000171,0.109,-17.803,0.0299,93.575,4
43,Baby (You've Got What It Takes),The Two Of Us,Dinah Washington,1960-07-05,165760,59,0.67,0.852,0.67,0.596,0.00203,0.653,-9.347,0.0627,133.396,4
44,September In The Rain,September In The Rain,Dinah Washington,1961-01-01,129333,58,0.401,0.346,0.401,0.213,1.05e-05,0.0596,-13.124,0.0545,110.611,4
45,Teach Me Tonight,"The Complete Dinah Washington On Mercury, Vol.4 (1954-1956)",Dinah Washington,1988-01-01,167493,0,0.558,0.805,0.558,0.231,0.0,0.142,-11.436,0.0812,73.103,4
46,Unforgettable,Unforgettable (Expanded Edition),Dinah Washington,1961-01-01,165800,34,0.322,0.885,0.322,0.19,0.00335,0.236,-14.916,0.0309,94.571,3
47,Am I Blue,After Hours With Miss D,Dinah Washington,2004-01-01,192906,29,0.395,0.89,0.395,0.247,0.000709,0.135,-8.912,0.0526,65.142,4
48,Blue Gardenia,The Bridges Of Madison County Original Sound Track,Various Artists,2005-09-13,317160,27,0.46,0.975,0.46,0.112,0.00444,0.123,-14.296,0.0455,172.061,5
49,I Get A Kick Out Of You,For Those In Love (Expanded Edition),Dinah Washington,1955-01-01,381373,32,0.707,0.762,0.707,0.275,1.61e-05,0.271,-12.208,0.0403,134.979,4
50,You Don't Know What Love Is,For Those In Love (Expanded Edition),Dinah Washington,1955-01-01,245000,27,0.516,0.966,0.516,0.101,3.89e-05,0.0906,-12.753,0.0513,137.832,4
51,Devil's Gonna Git You,"The Complete Recordings, Vol. 4",Bessie Smith,1993-04-26,190026,36,0.653,0.993,0.653,0.0442,0.0,0.131,-12.269,0.0371,71.434,5
52,"Baby, Won't You Please Come Home",Nobody Knows You When You're Down And Out,Bessie Smith,1924,175693,22,0.72,0.996,0.72,0.0423,0.00551,0.132,-14.979,0.0454,79.464,4
53,St. Louis Blues,Nobody Knows You When You're Down And Out,Bessie Smith,1924,190026,19,0.423,0.993,0.423,0.124,4.29e-05,0.117,-10.488,0.0552,69.691,4
54,After You've Gone,The Essential Bessie Smith,Bessie Smith,1997,175733,27,0.489,0.993,0.489,0.202,0.00021,0.216,-9.66,0.0337,93.657,4
55,"Empty Bed Blues, Pt. 1","The Complete Recordings, Vol. 4",Bessie Smith,1993-04-26,180840,30,0.666,0.995,0.666,0.0613,0.00252,0.114,-12.191,0.044,84.798,4
56,I Used to Be Your Sweet Mama,"The Complete Recordings, Vol. 3",Bessie Smith,1992-10-26,168626,21,0.717,0.99,0.717,0.115,0.0,0.0718,-8.011,0.085,86.15,4
57,A Good Man Is Hard to Find,The Essential Bessie Smith,Bessie Smith,1997,178333,22,0.797,0.987,0.797,0.034,1.88e-06,0.125,-8.371,0.0612,83.84,4
58,Feel Like I Wanna Cry,"H&L: Heritage of a Legend, Dinah Washington",Dinah Washington,2012-03-12,199933,0,0.624,0.952,0.624,0.173,0.00023,0.168,-12.988,0.0544,70.438,4
59,Call Me Irresponsible,The Best Of Dinah Washington,Dinah Washington,1992-04-13,140413,11,0.573,0.772,0.573,0.24,0.0,0.301,-13.269,0.0444,74.513,4
60,Drinking Again,Drinking Again,Dinah Washington,1962,211933,34,0.404,0.777,0.404,0.162,0.000931,0.0905,-13.592,0.0317,67.826,4
61,Just Friends,Drinking Again,Dinah Washington,1962,198360,8,0.243,0.841,0.243,0.185,0.683,0.119,-17.205,0.0394,77.493,4
62,I'm Gonna Laugh You out of My Life,Drinking Again,Dinah Washington,1962,173666,8,0.285,0.89,0.285,0.136,0.16,0.17,-17.978,0.0402,75.437,4
63,I'll Be Around,Drinking Again,Dinah Washington,1962,177466,7,0.186,0.879,0.186,0.146,0.144,0.0806,-18.799,0.032,170.828,5
64,"Lament (Love, I Found You Gone)",Drinking Again,Dinah Washington,1962,137773,6,0.34,0.941,0.34,0.148,0.162,0.133,-17.529,0.0499,79.131,4
65,I Don't Know You Anymore,Drinking Again,Dinah Washington,1962,169066,7,0.465,0.827,0.465,0.227,0.000212,0.0562,-15.084,0.0476,106.624,4
66,Baby Won't You Please Come Home,Drinking Again,Dinah Washington,1962,128893,8,0.481,0.904,0.481,0.275,8.07e-06,0.119,-14.85,0.0486,112.224,3
67,Lover Man (Oh Where Can You Be),Drinking Again,Dinah Washington,1962,183306,23,0.291,0.908,0.291,0.143,0.0338,0.154,-15.415,0.0399,95.614,3
68,The Man That Got Away,Drinking Again,Dinah Washington,1962,214133,10,0.436,0.855,0.436,0.201,2.53e-05,0.19,-13.95,0.0361,78.157,4
69,For All We Know,Drinking Again,Dinah Washington,1962,195893,7,0.257,0.917,0.257,0.127,0.0693,0.108,-18.57,0.0322,76.979,4
70,Say It Isn't So,Drinking Again,Dinah Washington,1962,190733,6,0.294,0.885,0.294,0.0901,6.93e-05,0.105,-16.98,0.0307,140.943,4
71,On the Street of Regret,Drinking Again,Dinah Washington,1962,134640,6,0.279,0.853,0.279,0.136,0.0014,0.318,-16.121,0.0348,154.28,4
72,I'm Beginning to See the Light,American Swing,Various Artists,2015-12-17,206400,0,0.526,0.762,0.526,0.364,0.0,0.233,-10.224,0.0671,131.255,4
73,"Teach Me Tonight - Live At The Hootenanny, London / 2004",Frank,Amy Winehouse,2003,201533,40,0.485,0.566,0.485,0.327,2.91e-06,0.979,-9.454,0.0522,110.719,3
74,"Gee Baby, Ain't I Good To You",Body and Soul,Billie Holiday,1957-01-01,334973,23,0.475,0.565,0.475,0.246,2.89e-06,0.0909,-13.061,0.0795,178.323,3
75,"Gee, Baby, Ain't I Good To You?",The Complete Ella And Louis On Verve,Ella Fitzgerald,1997-05-20,255040,27,0.64,0.824,0.64,0.153,0.0,0.0965,-15.41,0.0532,85.432,4
76,Since I Fell for You - Remastered,Bonnie Raitt (Remastered Version),Bonnie Raitt,1971,186200,34,0.385,0.838,0.385,0.362,0.000517,0.208,-11.016,0.0298,95.462,3
77,Embraceable You,"The Complete Dinah Washington On Mercury, Vol.1 (1946 - 1949)",Dinah Washington,1987-09-05,177200,2,0.39,0.913,0.39,0.193,7.18e-05,0.0896,-9.399,0.0316,74.566,4
78,I Get A Kick Out Of You,Ella Fitzgerald Sings The Cole Porter Song Book,Ella Fitzgerald,1956-01-01,241613,50,0.466,0.877,0.466,0.0456,0.0,0.129,-20.84,0.0416,130.752,4
79,Lullaby Of Birdland,Lullabies Of Birdland,Ella Fitzgerald,1954-01-01,171000,21,0.528,0.916,0.528,0.382,0.0,0.231,-5.963,0.0327,110.736,4
80,Lullaby Of Birdland,Vocal Jazz Hits,Various Artists,2020-09-18,240693,3,0.578,0.805,0.578,0.347,0.0,0.107,-12.422,0.1,122.928,4
81,Feeling Good,I Put A Spell On You,Nina Simone,1965-06,174000,0,0.399,0.864,0.399,0.326,0.0,0.191,-9.239,0.0386,79.206,4
82,You´d be so nice to come home to,Cole Porter: The Very Best,Various Artists,2007,259784,0,0.653,0.865,0.653,0.175,0.0189,0.19,-14.528,0.0349,129.707,4
83,Blue Skies,Blue Skies,Dinah Washington,2012-09-28,655011,0,0.682,0.45,0.682,0.418,0.00189,0.221,-7.549,0.0457,124.667,4
84,Cry Me a River,At Last - The Best Of,Etta James,2011-02-04,301693,17,0.404,0.767,0.404,0.219,0.0256,0.137,-13.586,0.0344,186.985,3
85,Lullaby of Birdland,"All that Jazz, Vol.4 – Ella Fitzgerald: ""That's My Favorite Song""",Ella Fitzgerald,2014-04-01,168944,4,0.525,0.979,0.525,0.193,0.000139,0.154,-12.618,0.0402,111.028,4
86,Teach Me Tonight,Jazz Divas Collection,Dinah Washington,2005-01-01,163893,0,0.58,0.84,0.58,0.232,0.0,0.503,-11.364,0.069,72.772,4
87,Someone to Watch Over Me,My Gentleman Friend (Original Album Plus Bonus Tracks 1959),Blossom Dearie,2014-05-09,358296,0,0.435,0.988,0.435,0.0657,0.000463,0.149,-18.025,0.0453,80.367,3
88,Twisted,King Pleasure Sings / Annie Ross Sings,King Pleasure,1987,158360,0,0.629,0.8,0.629,0.486,0.0,0.101,-11.631,0.057,82.509,4
