,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
36,Do Wah Diddy Diddy - 2007 Remaster,Down the Road Apiece - the Recordings 1963-1966,Manfred Mann,1963,144146,59,0.66,0.282,0.66,0.583,0.0,0.0553,-7.361,0.0512,125.44,4
37,I'm into Something Good,"A's, B's & EP's",Herman's Hermits,2004-03-01,153240,53,0.589,0.822,0.589,0.451,1.25e-06,0.151,-8.19,0.0315,134.082,4
38,Kind of a Drag,The Hit Singles Collection,The Buckinghams,2015,126520,42,0.271,0.857,0.271,0.783,0.00965,0.285,-7.996,0.0457,138.836,4
39,Don't You Care,Time & Charges,The Buckinghams,1967-06-01,148800,37,0.41,0.0967,0.41,0.566,0.0,0.263,-11.073,0.0443,142.037,4
40,Never My Love - Remastered Version,Insight Out,The Association,1967,187693,56,0.435,0.171,0.435,0.428,0.000708,0.149,-11.747,0.0268,95.534,4
41,I Think We're Alone Now - Single Version,I Think We're Alone Now,Tommy James & The Shondells,1967-01-05,130320,55,0.783,0.0722,0.783,0.42,0.0316,0.0692,-11.05,0.103,131.75,4
42,The Rain The Park And Other Things,The Cowsills,The Cowsills,1967-01-01,184240,51,0.376,0.809,0.376,0.662,0.00131,0.683,-8.771,0.0404,131.582,4
43,Five O'Clock World,The Vogues,The Vogues,2009-01-01,137613,47,0.497,0.588,0.497,0.768,0.0,0.151,-6.498,0.0361,126.763,4
44,Today,Surrealistic Pillow,Jefferson Airplane,1967,177546,59,0.51,0.695,0.51,0.31,0.0,0.128,-13.647,0.0291,90.074,4
45,Somebody to Love,Surrealistic Pillow,Jefferson Airplane,1967,174840,73,0.504,0.408,0.504,0.578,0.0,0.321,-9.302,0.031,132.411,4
46,White Rabbit,Surrealistic Pillow,Jefferson Airplane,1967,150640,69,0.551,0.486,0.551,0.293,0.000273,0.0864,-12.503,0.0272,106.798,4
47,Fresh Air - Remastered,Classic Masters,Quicksilver Messenger Service,2007-01-01,319586,47,0.452,0.409,0.452,0.757,0.344,0.135,-5.41,0.0396,115.546,4
48,Lola,"Lola Versus Powerman and the Moneygoround, Pt. One",The Kinks,1970-11-27,241040,70,0.474,0.582,0.474,0.917,0.231,0.201,-4.19,0.0395,152.113,4
49,All Day and All of the Night,Kinks,The Kinks,1964-10-02,141506,68,0.551,0.262,0.551,0.86,4.57e-06,0.0558,-7.839,0.0796,136.921,4
50,Waterloo Sunset - Mono Mix,Something Else (Deluxe Edition),The Kinks,1967-09-15,194216,65,0.512,0.162,0.512,0.69,0.0,0.167,-6.969,0.0249,107.839,4
51,Sunny Afternoon - Mono Mix,Face to Face (Deluxe Edition),The Kinks,1966-10-28,210525,66,0.595,0.102,0.595,0.465,0.0,0.0641,-8.412,0.026,124.991,4
52,You Really Got Me - Mono Mix,Kinks,The Kinks,1964-10-02,134253,71,0.573,0.493,0.573,0.939,0.0,0.0994,-6.441,0.0808,137.382,4
53,These Days,Chelsea Girl,Nico,1967-10-09,210653,65,0.401,0.989,0.401,0.13,0.305,0.101,-17.638,0.0312,93.091,4
54,Venus,At Home,Shocking Blue,1969,187533,67,0.691,0.462,0.691,0.762,0.0286,0.0804,-6.47,0.0367,128.111,4
55,(I'm Not Your) Steppin' Stone - 2006 Remaster,More of The Monkees (Deluxe Edition),The Monkees,1967-01-09,146533,54,0.537,0.0151,0.537,0.677,0.000199,0.0981,-4.437,0.0301,131.477,4
56,Dance On Through,Nobody But Me,The Human Beinz,1968-01-01,187346,40,0.64,0.0172,0.64,0.558,0.0482,0.137,-10.75,0.036,109.704,4
57,Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered],The Age Of Aquarius,The 5th Dimension,1969,289293,59,0.293,0.446,0.293,0.74,0.00151,0.0998,-6.098,0.0399,118.23,4
