,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
30,Kenimania,Nigeria Rock Special: Psychedelic Afro-Rock & Fuzz Funk in 1970's Nigeria,Various Artists,2009-08-10,277786,0,0.671,0.0847,0.671,0.86,0.834,0.154,-9.071,0.0432,96.674,4
31,Obaa Sima,Obaa Sima,Ata Kak,2015-03-03,338409,44,0.907,0.0335,0.907,0.66,0.194,0.112,-11.951,0.0459,130.747,4
32,Rough Rider,The World Ends: Afro Rock & Psychedelia in 1970s Nigeria,Various Artists,2010-11-23,233853,0,0.715,0.107,0.715,0.67,0.783,0.0943,-7.806,0.0348,111.877,4
33,Greetings,Nigeria 70 - Funky Lagos,Various Artists,2009-03-23,373333,42,0.653,0.0164,0.653,0.875,0.0311,0.377,-5.232,0.125,116.956,4
34,Akwa Kayi Ji Bia Nuwa,Soundway Records Presents The World Ends Afro Rock and Psychedelia in 1970s Nigeria,Various Artists,2010-07-12,329373,0,0.518,0.0626,0.518,0.915,9.68e-05,0.487,-7.634,0.0431,112.238,4
35,Heaven,Life Stories,Ebo Taylor,1977,365693,45,0.655,0.124,0.655,0.771,0.509,0.0811,-7.321,0.0517,99.567,4
36,Keleya,World Psychedelic Classics: Love's A Real Thing,Various Artists,2005-03-07,402333,33,0.79,0.907,0.79,0.63,0.0669,0.347,-9.657,0.102,121.101,4
37,Secret Agent,Secret Agent,Tony Allen,2009-06-08,320493,0,0.721,0.28,0.721,0.604,0.216,0.225,-10.224,0.0302,119.98,4
38,Heavy Heavy Heavy,Afro-Rock Vol. 1,Various Artists,1974,393280,34,0.662,0.129,0.662,0.868,0.409,0.126,-8.375,0.0496,136.071,4
39,Blacky Joe,The World Ends: Afro Rock & Psychedelia in 1970s Nigeria,Various Artists,2010-11-23,299960,0,0.56,0.0104,0.56,0.704,0.00123,0.313,-8.237,0.0465,139.962,4
40,Somebody's Gonna Lose or Win,The World Ends: Afro Rock & Psychedelia in 1970s Nigeria,Various Artists,2010-11-23,189160,0,0.731,0.434,0.731,0.748,0.00117,0.0742,-6.886,0.0817,102.648,4
41,Fefe Naa Efe,Gentleman,Fela Kuti,1973-01-01,492293,32,0.77,0.602,0.77,0.733,0.0302,0.143,-8.028,0.135,93.079,4
42,This Hustling World,Simigwa,Gyedu-Blay Ambolley,2012-10-15,258577,34,0.697,0.721,0.697,0.534,1.29e-05,0.32,-10.826,0.0567,110.378,4
43,Onye Mmanya,"Dancing Time, the Best of Eastern Nigeria's Afro Rock Exponents 1973-77 (Soundway Records)",The Funkees,2012-03-19,352186,34,0.59,0.225,0.59,0.741,0.241,0.191,-9.662,0.0525,111.695,4
44,Bargain,"Make It Fast, Make It Slow (Soundway Records)",Rob,2012-03-12,317684,37,0.811,0.515,0.811,0.561,0.304,0.127,-10.883,0.423,103.967,4
45,Spoons,Mali Music,Malian Musicians,2002-04-15,319293,39,0.285,0.697,0.285,0.419,0.0205,0.249,-13.454,0.0427,120.026,4
46,Hyena,Footsteps In Africa - The Soundtrack,Various Artists,2009-09-18,173000,0,0.679,0.47,0.679,0.474,0.841,0.0727,-15.384,0.0311,130.019,3
47,Fafa,Fondo,Vieux Farka Touré,2009-05-26,303226,0,0.441,0.744,0.441,0.611,0.295,0.168,-5.61,0.0314,92.581,4
48,Watch Your Life,Itadi,Itadi,2013-05-03,370469,37,0.629,0.213,0.629,0.734,0.175,0.113,-10.326,0.0467,88.093,4
49,Toumast Tincha,Emmaar,Tinariwen,2014-02-10,260253,0,0.494,0.486,0.494,0.661,0.806,0.116,-7.54,0.047,89.659,4
