,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,I Wish You Were Here,Jah Victory,Alpha Blondy,2007-10-22,267120,0,0.796,0.02,0.796,0.566,0.0181,0.116,-7.857,0.0695,143.994,4
1,Uptown Top Ranking - Remastered 2001,Uptown Top Ranking,Althea And Donna,1978-01-01,229160,60,0.886,0.0477,0.886,0.522,0.00108,0.207,-7.971,0.173,82.439,4
2,You Made Me So Very Happy,Soul Groover,Alton Ellis,2003,173893,0,0.791,0.627,0.791,0.493,2.78e-05,0.125,-7.803,0.112,83.645,4
3,Time Will Tell,Kaya - Deluxe Edition,Bob Marley & The Wailers,1978-03-23,205253,0,0.501,0.0579,0.501,0.3,7.96e-06,0.085,-14.958,0.191,160.351,4
4,Easy Skanking,Kaya - Deluxe Edition,Bob Marley & The Wailers,1978-03-23,175973,49,0.814,0.0062,0.814,0.438,0.000166,0.113,-12.148,0.0386,126.711,4
5,Kinky Reggae,Talkin' Blues,Bob Marley & The Wailers,1991-02-04,307413,0,0.732,0.153,0.732,0.532,0.00653,0.0958,-10.378,0.449,80.1,4
6,Coming In From The Cold,Uprising,Bob Marley & The Wailers,1980,271023,0,0.734,0.258,0.734,0.631,2.4e-06,0.0752,-6.887,0.098,141.478,4
7,Surfin',Below The Bassline,Ernest Ranglin,1996-01-01,343600,0,0.742,0.111,0.742,0.239,0.671,0.101,-17.714,0.0856,139.856,4
8,"The Harder They Come - From ""The Harder They Come"" Soundtrack",The Harder They Come,Jimmy Cliff,1972-01-01,219906,0,0.679,0.645,0.679,0.589,0.0,0.151,-8.01,0.0727,102.492,4
9,Tus Ojos,Suena la Alarma,Los Cafres,1997-09-01,254865,67,0.853,0.0234,0.853,0.48,0.000618,0.0323,-9.052,0.0512,92.157,4
10,Bastará,Barrilete,Los Cafres,2007-11-11,279920,61,0.734,0.205,0.734,0.604,3.12e-06,0.254,-5.916,0.0548,84.965,4
11,Momento,Barrilete,Los Cafres,2007-11-11,349520,56,0.72,0.18,0.72,0.693,9.19e-06,0.0626,-6.226,0.088,86.983,4
12,De Mi Mente,Espejitos,Los Cafres,2000-09-02,227999,52,0.787,0.046,0.787,0.401,3.38e-05,0.0601,-13.478,0.262,165.862,4
13,Casi q' me pierdo,El Paso Gigante,Los Cafres,2011-09-27,265691,64,0.697,0.0216,0.697,0.638,0.00286,0.103,-5.246,0.091,165.929,4
14,Si El Amor Se Cae,¿Quién da Más ?,Los Cafres,2004-09-03,271000,55,0.624,0.102,0.624,0.618,5.88e-06,0.0853,-5.586,0.123,169.844,4
15,Aire,Espejitos,Los Cafres,2000-09-02,257999,51,0.746,0.192,0.746,0.318,9.86e-05,0.0736,-13.831,0.059,167.878,4
16,Pupilas Lejanas,Ritual De Los Pericos,Los Pericos,2002,234733,52,0.698,0.135,0.698,0.516,0.0,0.081,-8.609,0.0321,75.01,3
17,Sentimiento Original,Gondwana,Gondwana,1997,292800,64,0.746,0.0147,0.746,0.602,0.0,0.0688,-8.825,0.102,86.586,4
18,La complicidad,La Dulzura,Cultura Profética,2010-08-24,363920,0,0.659,0.134,0.659,0.746,2.33e-05,0.171,-5.636,0.0923,128.982,4
19,Runaway,Pericos & Friends,Los Pericos,2010-09-28,233267,65,0.676,0.0438,0.676,0.731,1.26e-05,0.624,-5.253,0.0368,150.151,4
20,Armonia De Amor,Gondwana,Gondwana,1997,234773,60,0.732,0.328,0.732,0.461,0.0,0.407,-9.667,0.0539,157.414,4
21,Ilegal,La Dulzura,Cultura Profética,2010-08-24,305000,0,0.827,0.35,0.827,0.587,0.0,0.0907,-4.666,0.0485,116.901,4
22,007 (Shanty Town),This Is Crucial Reggae - Desmond Dekker,Desmond Dekker,2007,153600,0,0.86,0.0669,0.86,0.575,0.159,0.179,-6.747,0.0893,101.715,4
23,Take Five,Step Forward,New York Ska-Jazz Ensemble,2008,304000,15,0.621,0.00699,0.621,0.397,0.765,0.0796,-9.53,0.0484,147.38,4
24,The Great Gig In The Sky,Dub Side Of The Moon,Easy Star All-Stars,2003-02-18,265066,38,0.787,0.365,0.787,0.73,0.835,0.0917,-5.792,0.0357,126.366,4
25,Perfidia (with Tommy McCook & The Supersonics),Love Is All I Had: A Tribute to the Queen of Jamaican Soul,Phyllis Dillon,2004-01-01,166333,46,0.771,0.412,0.771,0.441,0.0201,0.0967,-9.678,0.0292,91.457,4
26,No Tan Distintos,Obras Cumbres,Sumo,1985,159866,0,0.698,0.232,0.698,0.736,4.73e-05,0.084,-6.082,0.0669,174.569,4
27,A la par del amor,A la par del amor,Manu Chao,2017-06-23,272000,44,0.895,0.155,0.895,0.62,3.25e-06,0.0708,-6.968,0.303,88.529,4
28,Whole Lotta Love,Un-Led-Ed,Dread Zeppelin,1990-01-01,278400,23,0.392,0.0685,0.392,0.77,0.00803,0.0375,-10.385,0.099,84.024,4
29,Don't Let Me Down,Play Me Sweet and Nice,Marcia Griffiths,2006-01-01,204533,51,0.691,0.404,0.691,0.662,0.00509,0.465,-10.045,0.053,157.367,4
30,Love Is Strange - 1993 Digital Remaster,Wild Life,Wings,1971-12-07,288466,0,0.819,0.0102,0.819,0.34,0.0013,0.186,-14.198,0.0563,122.074,4
31,Lonely Boy,Singasong,Taggy Matcher,2014-11-28,236442,44,0.822,0.42,0.822,0.554,8.14e-05,0.383,-12.466,0.0305,130.976,4
32,Iyat Ninhay / Jaguar (A Great Desert I Saw),Azel,Bombino,2016-04-01,367185,0,0.215,0.000939,0.215,0.835,0.255,0.518,-6.756,0.0504,78.689,4
33,Whole Lotta Love,Version Excursions,The Dynamics,2007,263533,0,0.73,0.0792,0.73,0.543,0.559,0.11,-8.418,0.0638,166.024,4
34,Cherry Oh Baby - Remastered,Black And Blue (Remastered 2009),The Rolling Stones,1976-04-23,234200,36,0.835,0.164,0.835,0.421,0.00307,0.028,-8.484,0.0787,144.024,4
35,I Wonder,Best of (Deluxe Edition),Protassov,2011-09-09,249495,37,0.773,0.17,0.773,0.79,0.125,0.096,-7.523,0.0985,80.081,4
36,Ali Baba,The Best of John Holt,John Holt,2016-06-17,155946,30,0.808,0.394,0.808,0.522,0.00761,0.114,-8.324,0.0945,79.951,4
37,Let Down,Radiodread,Easy Star All-Stars,2006,284400,0,0.747,0.137,0.747,0.571,3.75e-05,0.0877,-6.243,0.0401,113.08,4
38,Straight to Hell,Straight to Hell,Various Artists,2017-04-14,314549,36,0.63,0.0184,0.63,0.937,0.00288,0.27,-4.038,0.103,75.927,4
39,Rave On,Großes Kino,Blumentopf,1999-08-02,113533,44,0.954,0.639,0.954,0.334,0.000162,0.334,-13.664,0.164,105.918,4
40,54-46 Was My Number,In The Dark,Toots & The Maytals,1973-03-01,204026,58,0.685,0.18,0.685,0.36,0.0,0.112,-9.572,0.0568,160.448,4
41,Pimper's Paradise,Uprising,Bob Marley & The Wailers,1980,207773,61,0.939,0.00557,0.939,0.65,0.0,0.0429,-8.282,0.0615,134.727,4
42,Ba Ba Boom,Ba Ba Boom,The Jamaicans,2011-08-11,201706,46,0.683,0.661,0.683,0.387,0.000981,0.139,-11.362,0.0816,151.921,4
43,"Take Me Home, Country Roads",In The Dark,Toots & The Maytals,1973-03-01,202733,32,0.614,0.52,0.614,0.422,0.00117,0.0616,-12.713,0.136,175.019,4
44,All My Loving,"Ska and Rocksteady Collection, Vol. 1",Prince Buster,2016-04-01,110088,48,0.771,0.974,0.771,0.439,0.000452,0.13,-5.835,0.1,157.436,4
45,Jah Jah Know,Hebron Gate,Groundation,2003,363866,26,0.727,0.0994,0.727,0.503,9e-06,0.31,-9.565,0.181,81.777,4
46,I Chase The Devil,Lee 'Scratch' Perry & The Upsetters: Super Ape & Return of the Super Ape,"Lee ""Scratch"" Perry",2012-11-26,410373,48,0.854,0.144,0.854,0.441,4.5e-06,0.135,-11.564,0.391,149.029,4
47,You Haven't Called,You Haven't Called,UB40,2019-01-18,367200,17,0.785,0.0612,0.785,0.599,0.0673,0.141,-7.06,0.0423,145.976,4
48,So True,On the Sun,The Black Seeds,2004-06-01,234880,0,0.708,0.107,0.708,0.634,7.87e-05,0.0702,-6.161,0.0817,164.145,4
49,I'm Still In Love,Legend,Alton Ellis,2009,268080,37,0.749,0.154,0.749,0.411,0.000137,0.119,-12.469,0.0392,83.459,4
50,"Rudy, A Message To You",Suzanne Beware of the Devil - The Best of Dandy Livingstone,Dandy Livingstone,2002-12-10,168480,54,0.931,0.0694,0.931,0.39,0.115,0.0807,-9.959,0.102,107.305,4
51,Tu Sin Mi,Vivi En Do,Dread Mar I,2010-05-01,245055,63,0.803,0.143,0.803,0.418,0.0,0.0524,-5.751,0.0318,83.965,4
52,Funky Kingston,Funky Kingston,Toots & The Maytals,1973-01-01,295666,58,0.777,0.265,0.777,0.458,0.00295,0.0423,-12.358,0.0841,99.05,4
