,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
36,Te De Campana,Te De Campana,Atomic Otro Way,2016-02-27,195526,61,0.807,0.0345,0.807,0.913,3.99e-06,0.552,-4.788,0.0592,105.031,4
37,Te Busco (feat. Nicky Jam),Te Busco (feat. Nicky Jam),Cosculluela,2016-02-05,233546,50,0.678,0.214,0.678,0.772,0.0,0.0897,-4.732,0.141,178.12,4
38,Balada,Caribe 2012: Ai Se o Verão Te Pega!,Various Artists,2012-06-22,201720,57,0.669,0.155,0.669,0.954,0.0,0.951,-4.211,0.0631,127.946,4
39,5 Letras,Sobrenatural,Alexis y Fido,2007-09-28,195573,65,0.82,0.272,0.82,0.788,1.65e-06,0.0404,-5.478,0.191,93.961,4
40,Rakata,Reggaeton de los 00's,Various Artists,2019-05-31,172853,69,0.872,0.0303,0.872,0.785,0.0,0.0798,-5.463,0.153,95.991,4
41,Donde Estan las Gatas,Gargolas III,Alex Gargolas,2001,170004,67,0.827,0.246,0.827,0.788,0.0,0.0764,-11.937,0.0831,109.934,4
42,Guaya Guaya,The Last Don II,Don Omar,2015-06-16,193613,66,0.788,0.00607,0.788,0.873,0.00052,0.0908,-2.322,0.117,91.981,4
43,Safaera,YHLQMDLG,Bad Bunny,2020-02-28,295176,81,0.607,0.0103,0.607,0.829,0.0,0.107,-4.074,0.379,96.172,4
44,Vamos A La Playa (Radio Edit),Vamos A La Playa,Loona,2010-09-20,177938,35,0.7,0.103,0.7,0.959,0.0,0.411,-4.483,0.0499,131.005,4
45,Me Rehúso,Me Rehúso,Danny Ocean,2017-06-16,205714,76,0.744,0.0231,0.744,0.804,0.0,0.0494,-6.327,0.0677,104.823,4
46,Un Bellaqueo,Un Bellaqueo,Ozuna,2016-06-22,218592,57,0.895,0.3,0.895,0.789,8.6e-06,0.158,-3.802,0.0895,88.004,4
47,Suavemente,Suavemente...Los Exitos,Elvis Crespo,2008-10-14,266306,66,0.809,0.238,0.809,0.883,0.00234,0.0625,-2.965,0.0689,124.096,4
